automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,word_size,temporal_steps,temporal_tile_size_y,average_time_ms,average_time_per_cell_ps,std_time_ms,rounds_had_same_checksums,checksum
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16240,120,5,1,0,0,32,2,42,32,10,64,16.183603,0.507852,0.006120,true,1343775-1331935-1337710-1334294-1345435-1349998-1322529-1321105-1324310-1325932-1350604-1335283-1319281-1315569-1334809-1329305
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16440,120,5,1,0,0,32,2,42,32,12,64,14.996679,0.465792,0.006126,true,1355985-1335553-1321986-1358506-1331119-1344210-1350876-1366754-1352044-1347186-1351018-1351751-1332753-1338099-1342525-1351843
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16240,120,5,1,0,0,32,2,42,32,12,64,16.065402,0.504143,0.003324,true,1343775-1331935-1337710-1334294-1345435-1349998-1322529-1321105-1324310-1325932-1350604-1335283-1319281-1315569-1334809-1329305
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16416,126,5,1,0,0,32,2,42,32,14,64,17.174650,0.508780,0.036554,true,1347187-1326942-1308685-1343509-1320194-1330441-1336353-1353468-1339990-1327449-1341491-1346111-1324435-1323924-1333626-1337927
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16352,126,5,1,0,0,32,2,42,32,14,64,17.480397,0.518847,0.009816,true,1340129-1330222-1341357-1336519-1345825-1341724-1321072-1328405-1326494-1329483-1353754-1328879-1323393-1317507-1331247-1336941
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16448,128,5,1,0,0,32,2,42,32,16,64,19.690253,0.573071,0.002196,true,1346801-1326204-1306177-1346945-1319274-1328959-1334744-1352407-1340188-1325006-1342207-1345139-1330390-1325756-1329976-1339500
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16352,128,5,1,0,0,32,2,42,32,16,64,17.693114,0.516955,0.009104,true,1337377-1328430-1337902-1335381-1342664-1339469-1318482-1326565-1325137-1327205-1353329-1325057-1321471-1312479-1327638-1333798
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16440,119,5,1,0,0,32,2,42,32,17,64,18.085984,0.566465,0.019639,true,1357043-1339188-1324311-1361112-1334182-1346248-1352174-1368217-1355211-1350361-1353212-1352992-1334610-1339800-1343740-1353587
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16224,16416,119,5,1,0,0,32,2,42,32,17,64,17.819590,0.562245,0.047140,true,1328585-1322176-1329158-1345894-1339151-1353110-1325115-1344527-1356241-1329885-1342805-1344457-1350909-1345793-1345379-1353528
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16436,126,5,1,0,0,32,2,42,32,18,64,20.497638,0.606481,0.028742,true,1350301-1326924-1311622-1348175-1321820-1331746-1337450-1354412-1341450-1329210-1344315-1347026-1328866-1327393-1335391-1341623
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16224,16416,126,5,1,0,0,32,2,42,32,18,64,18.809177,0.560498,0.044807,true,1316003-1312371-1319767-1329771-1326968-1343536-1306957-1334562-1345723-1321008-1335044-1334789-1340650-1336179-1337067-1352231
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16440,120,5,1,0,0,32,2,42,32,20,64,22.918003,0.711826,0.004543,true,1355985-1335553-1321986-1358506-1331119-1344210-1350876-1366754-1352044-1347186-1351018-1351751-1332753-1338099-1342525-1351843
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16224,16416,120,5,1,0,0,32,2,42,32,20,64,17.859098,0.558796,0.013370,true,1326246-1322485-1327482-1344001-1338889-1351967-1322849-1342424-1355768-1327173-1342169-1342147-1348472-1343989-1344368-1352282
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16440,110,5,1,0,0,32,2,42,32,22,64,24.952192,0.845462,0.004801,true,1368176-1351664-1345149-1374394-1355976-1360790-1367795-1384014-1378196-1371308-1370124-1370438-1352429-1353328-1356384-1371161
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16224,16432,110,5,1,0,0,32,2,42,32,22,64,17.684819,0.603059,0.003131,true,1344416-1345301-1348741-1366529-1356186-1362293-1343510-1354955-1367278-1350458-1352057-1360482-1365174-1357615-1362806-1359533
brian,CUDA,temporal,bit_planes,bit_planes,,16320,16448,120,5,1,0,0,32,2,42,32,24,64,33.722081,1.046887,0.003197,true,1352869-1335614-1321885-1358284-1331717-1345020-1351254-1367308-1352754-1347545-1351882-1352484-1334175-1340364-1342173-1353202
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16224,16432,120,5,1,0,0,32,2,42,32,24,64,19.259814,0.602036,0.003699,true,1323050-1323929-1329341-1346502-1340571-1353034-1324000-1343564-1357573-1328649-1343483-1343629-1347489-1343768-1345550-1354062
brian,CUDA,simple,bit_array,bit_array,,16384,16384,128,5,1,0,0,32,2,42,64,0,0,353.798859,10.296902,0.209293,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,simple,bit_planes,bit_planes,,16384,16384,128,5,1,0,0,32,2,42,64,0,0,11.109408,0.323326,0.006745,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,simple,tiled_bit_planes,tiled_bit_planes,,16384,16384,128,5,1,0,0,32,2,42,64,0,0,12.449222,0.362320,0.007763,true,1370182-1335317-1332633-1347082-1348520-1322570-1344908-1333174-1321475-1342236-1347135-1335328-1331246-1335809-1337049-1330515
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,128,5,1,0,0,32,2,42,64,2,32,10.590176,0.308290,0.012159,true,1314663-1329372-1331952-1324787-1323857-1314559-1343727-1329371-1324092-1317608-1320239-1331887-1331179-1333463-1352142-1349171
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,128,5,1,0,0,32,2,42,64,2,32,13.315482,0.390577,0.008499,true,1337615-1316455-1298507-1334398-1306903-1321158-1324413-1345549-1329638-1315127-1328801-1334983-1315094-1309782-1325917-1327158
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,126,5,1,0,0,32,2,42,64,3,32,10.219098,0.302210,0.007456,true,1319791-1331576-1337027-1328696-1329143-1318633-1344692-1329842-1325187-1318863-1323835-1332593-1333541-1337345-1353875-1353764
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,126,5,1,0,0,32,2,42,64,3,32,12.535584,0.373537,0.002638,true,1340213-1319047-1304077-1336100-1310343-1324357-1328246-1348331-1331521-1320489-1332363-1337644-1316511-1312218-1326971-1329244
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,128,5,1,0,0,32,2,42,64,4,32,10.751501,0.312986,0.004486,true,1314663-1329372-1331952-1324787-1323857-1314559-1343727-1329371-1324092-1317608-1320239-1331887-1331179-1333463-1352142-1349171
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,128,5,1,0,0,32,2,42,64,4,32,12.456710,0.365387,0.003322,true,1337615-1316455-1298507-1334398-1306903-1321158-1324413-1345549-1329638-1315127-1328801-1334983-1315094-1309782-1325917-1327158
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17468,125,5,1,0,0,32,2,42,64,5,32,11.015782,0.328451,0.009847,true,1324264-1332069-1339861-1329999-1330333-1320104-1346812-1329706-1326795-1319767-1325342-1334227-1337241-1337326-1353229-1354617
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,125,5,1,0,0,32,2,42,64,5,32,11.998547,0.360395,0.006374,true,1341134-1320950-1305446-1337517-1312134-1325521-1330209-1351999-1333344-1322198-1334874-1338801-1318071-1313656-1327601-1330418
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17460,126,5,1,0,0,32,2,42,64,6,32,12.054067,0.356720,0.004435,true,1317940-1328193-1338261-1330922-1328175-1317647-1343547-1328795-1324118-1317786-1323142-1331810-1331541-1336926-1350888-1349749
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,126,5,1,0,0,32,2,42,64,6,32,11.982880,0.357068,0.003078,true,1340213-1319047-1304077-1336100-1310343-1324357-1328246-1348331-1331521-1320489-1332363-1337644-1316511-1312218-1326971-1329244
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17460,126,5,1,0,0,32,2,42,64,7,32,13.398906,0.396518,0.002325,true,1317940-1328193-1338261-1330922-1328175-1317647-1343547-1328795-1324118-1317786-1323142-1331810-1331541-1336926-1350888-1349749
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,126,5,1,0,0,32,2,42,64,7,32,11.904973,0.354746,0.002375,true,1340213-1319047-1304077-1336100-1310343-1324357-1328246-1348331-1331521-1320489-1332363-1337644-1316511-1312218-1326971-1329244
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,128,5,1,0,0,32,2,42,64,8,32,14.732953,0.428890,0.002411,true,1314663-1329372-1331952-1324787-1323857-1314559-1343727-1329371-1324092-1317608-1320239-1331887-1331179-1333463-1352142-1349171
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16320,16320,128,5,1,0,0,32,2,42,64,8,32,12.032985,0.352958,0.005939,true,1337615-1316455-1298507-1334398-1306903-1321158-1324413-1345549-1329638-1315127-1328801-1334983-1315094-1309782-1325917-1327158
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,126,5,1,0,0,32,2,42,64,9,32,16.295079,0.481895,0.004239,true,1319791-1331576-1337027-1328696-1329143-1318633-1344692-1329842-1325187-1318863-1323835-1332593-1333541-1337345-1353875-1353764
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16352,126,5,1,0,0,32,2,42,64,9,32,13.430490,0.398639,0.006321,true,1340129-1330222-1341357-1336519-1345825-1341724-1321072-1328405-1326494-1329483-1353754-1328879-1323393-1317507-1331247-1336941
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,120,5,1,0,0,32,2,42,64,10,32,18.169305,0.564187,0.001420,true,1333988-1343383-1348231-1339797-1340204-1327577-1353191-1339879-1331639-1331061-1333716-1339993-1340414-1349925-1361304-1361486
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16352,120,5,1,0,0,32,2,42,64,10,32,12.747328,0.397280,0.004656,true,1348593-1338786-1349514-1343431-1352887-1357636-1331165-1330448-1334623-1335294-1362084-1341295-1329461-1324051-1341560-1344563
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17472,120,5,1,0,0,32,2,42,64,12,32,26.687609,0.828695,0.005314,true,1333988-1343383-1348231-1339797-1340204-1327577-1353191-1339879-1331639-1331061-1333716-1339993-1340414-1349925-1361304-1361486
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16352,120,5,1,0,0,32,2,42,64,12,32,12.688416,0.395443,0.005373,true,1348593-1338786-1349514-1343431-1352887-1357636-1331165-1330448-1334623-1335294-1362084-1341295-1329461-1324051-1341560-1344563
brian,CUDA,temporal,bit_planes,bit_planes,,15360,17476,126,5,1,0,0,32,2,42,64,14,32,55.499942,1.640925,0.004427,true,1319790-1331355-1336739-1327609-1329423-1318986-1345036-1330245-1325541-1319139-1324241-1332946-1336332-1335585-1353410-1355106
brian,CUDA,temporal,tiled_bit_planes,tiled_bit_planes,,16352,16352,126,5,1,0,0,32,2,42,64,14,32,13.285261,0.394328,0.004782,true,1340129-1330222-1341357-1336519-1345825-1341724-1321072-1328405-1326494-1329483-1353754-1328879-1323393-1317507-1331247-1336941
